"vus","type","name","http_req_duration_min","http_req_duration_max","http_req_duration_avg","http_req_duration_med","http_reqs_count","http_reqs_rate"
50,"GRPC","create-card-payment",2.2837012000000003,303.5120806,18.337120964488424,17.5457144,"162324.4",2704.597011422583
25,"GRPC","create-card-payment",2.237663,127.10891360000001,9.213066002571093,8.6333951,"160416.6",2673.310482840792
25,"GRPC","create-card",0.8918016,418.92128900000006,3.5877211858364815,3.1985324000000004,"402889.6",6714.0564202091555
10,"REST","create-card-payment",2.1616732,241.545905,4.816201986088738,4.391332200000001,"120785.8",2012.9146791929568
1,"GRPC","create-card",0.6179034000000001,106.87867920000001,0.8950622940699888,0.8542162000000001,"62634.6",1043.8847797513265
1,"REST","create-card",0.7516834,334.0110608,1.175814503287301,0.9510531999999999,"48399",806.5602746567232
1,"REST","create-card-payment",1.4115096,128.62299739999997,1.764243896561334,1.6802563,"32470.6",541.1609382663239
100,"GRPC","create-card-payment",2.2859284000000004,237.81511999999998,36.3930792796653,35.4408763,"164204.2",2735.795734025988
100,"GRPC","create-card",0.960744,607.5331684,15.139396733492466,13.4858077,"393888.6",6559.062434333988
10,"GRPC","create-card-payment",1.8138972,230.4576094,3.936722144133616,3.6410818,"147066.2",2450.945149004145
100,"REST","create-card-payment",2.6740833999999998,334.3987734,45.6385436675203,44.251326600000006,"131036.6",2183.0835423686317
50,"REST","create-card",1.0624328,508.46024959999994,10.72004381891281,9.7085597,"276000.4",4599.36808494905
10,"GRPC","create-card",0.7569503999999999,259.4503662,1.7229665580280187,1.4531917,"326803.6",5446.523706573457
1,"GRPC","create-card-payment",1.2033078,129.45272,1.5692574746060597,1.492711,"36374.4",606.2217111380953
100,"REST","create-card",1.1821949999999999,327.1868356,20.837354612150147,19.4650541,"285837",4762.855187756368
25,"REST","create-card",0.9589969999999999,226.0671132,5.446930068360406,4.8396532,"268369",4472.466508909802
50,"REST","create-card-payment",2.4052078000000003,235.29540939999998,22.653629032161085,21.942529299999997,"131566.6",2192.2896155971416
10,"REST","create-card",0.9610604,318.8364156,2.6824738265552917,2.0625685000000002,"216633.2",3610.12258062517
25,"REST","create-card-payment",2.4922114,197.6563814,11.691468702572095,10.8539044,"126831.4",2113.601067127176
50,"GRPC","create-card",0.9296414000000001,972.5417008000001,7.683965931162388,6.650493299999999,"384743.6",6402.882494675168
